Word,Length,Log_Freq_HAL,I_Mean_RT,I_Mean_Accuracy
adoption,407.5745187,433.7256573,-2022.060992,44.57338056
adopts,407.5911859,433.7435032,-2022.178434,44.57520601
adorable,407.6078532,433.7613492,-2022.295876,44.57703146
adoration,407.6245205,433.7791952,-2022.413319,44.57885692
adore,407.6411877,433.7970411,-2022.530761,44.58068237
adored,407.657855,433.8148871,-2022.648204,44.58250782
adores,407.6745223,433.8327331,-2022.765646,44.58433327
adorn,407.6911895,433.8505791,-2022.883088,44.58615873
adorned,407.7078568,433.868425,-2023.000531,44.58798418
adornment,407.7245241,433.886271,-2023.117973,44.58980963
adorns,407.7411913,433.904117,-2023.235416,44.59163508
adrenal,407.7578586,433.9219629,-2023.352858,44.59346054
adrenalin,407.7745259,433.9398089,-2023.4703,44.59528599
Adrian,407.7911932,433.9576549,-2023.587743,44.59711144
Adriatic,407.8078604,433.9755008,-2023.705185,44.59893689
adrift,407.8245277,433.9933468,-2023.822628,44.60076235
adroit,407.841195,434.0111928,-2023.94007,44.6025878
adroitness,407.8578622,434.0290388,-2024.057512,44.60441325
ads,407.8745295,434.0468847,-2024.174955,44.6062387
adsorbed,407.8911968,434.0647307,-2024.292397,44.60806415
adsorbs,407.907864,434.0825767,-2024.40984,44.60988961
adulation,407.9245313,434.1004226,-2024.527282,44.61171506
adult,407.9411986,434.1182686,-2024.644724,44.61354051
adulterant,407.9578658,434.1361146,-2024.762167,44.61536596
adulterate,407.9745331,434.1539606,-2024.879609,44.61719142
adulterated,407.9912004,434.1718065,-2024.997052,44.61901687
adulterer,408.0078676,434.1896525,-2025.114494,44.62084232
adulterers,408.0245349,434.2074985,-2025.231936,44.62266777
adulteress,408.0412022,434.2253444,-2025.349379,44.62449323
adulterous,408.0578695,434.2431904,-2025.466821,44.62631868
adultery,408.0745367,434.2610364,-2025.584264,44.62814413
adulthood,408.091204,434.2788823,-2025.701706,44.62996958
adults,408.1078713,434.2967283,-2025.819148,44.63179504
advance,408.1245385,434.3145743,-2025.936591,44.63362049
advanced,408.1412058,434.3324203,-2026.054033,44.63544594
advancement,408.1578731,434.3502662,-2026.171476,44.63727139
advancements,408.1745403,434.3681122,-2026.288918,44.63909685
advances,408.1912076,434.3859582,-2026.40636,44.6409223
advancing,408.2078749,434.4038041,-2026.523803,44.64274775
advantage,408.2245421,434.4216501,-2026.641245,44.6445732
advantageous,408.2412094,434.4394961,-2026.758688,44.64639866
advantageously,408.2578767,434.4573421,-2026.87613,44.64822411
advantages,408.2745439,434.475188,-2026.993572,44.65004956
advent,408.2912112,434.493034,-2027.111015,44.65187501
adventitious,408.3078785,434.51088,-2027.228457,44.65370047
adventure,408.3245458,434.5287259,-2027.3459,44.65552592
adventurers,408.341213,434.5465719,-2027.463342,44.65735137
adventures,408.3578803,434.5644179,-2027.580784,44.65917682
adventuring,408.3745476,434.5822638,-2027.698227,44.66100228
adventurous,408.3912148,434.6001098,-2027.815669,44.66282773
adverb,408.4078821,434.6179558,-2027.933112,44.66465318
adverbial,408.4245494,434.6358018,-2028.050554,44.66647863
adverbs,408.4412166,434.6536477,-2028.167996,44.66830409
adversaries,408.4578839,434.6714937,-2028.285439,44.67012954
adversary,408.4745512,434.6893397,-2028.402881,44.67195499
adverse,408.4912184,434.7071856,-2028.520324,44.67378044
adversely,408.5078857,434.7250316,-2028.637766,44.6756059
adversity,408.524553,434.7428776,-2028.755208,44.67743135
advert,408.5412202,434.7607235,-2028.872651,44.6792568
advertise,408.5578875,434.7785695,-2028.990093,44.68108225
advertised,408.5745548,434.7964155,-2029.107536,44.68290771
advertisement,408.591222,434.8142615,-2029.224978,44.68473316
advertisements,408.6078893,434.8321074,-2029.34242,44.68655861
advertiser,408.6245566,434.8499534,-2029.459863,44.68838406
advertisers,408.6412239,434.8677994,-2029.577305,44.69020951
advertises,408.6578911,434.8856453,-2029.694748,44.69203497
advertising,408.6745584,434.9034913,-2029.81219,44.69386042
advice,408.6912257,434.9213373,-2029.929632,44.69568587
advisability,408.7078929,434.9391833,-2030.047075,44.69751132
advisable,408.7245602,434.9570292,-2030.164517,44.69933678
advise,408.7412275,434.9748752,-2030.28196,44.70116223
advised,408.7578947,434.9927212,-2030.399402,44.70298768
advisedly,408.774562,435.0105671,-2030.516844,44.70481313
advisement,408.7912293,435.0284131,-2030.634287,44.70663859
adviser,408.8078965,435.0462591,-2030.751729,44.70846404
advisers,408.8245638,435.064105,-2030.869172,44.71028949
advises,408.8412311,435.081951,-2030.986614,44.71211494
advising,408.8578983,435.099797,-2031.104056,44.7139404
advisor,408.8745656,435.117643,-2031.221499,44.71576585
admonishing,408.8912329,435.1354889,-2031.338941,44.7175913
admonishments,408.9079002,435.1533349,-2031.456384,44.71941675
admonition,408.9245674,435.1711809,-2031.573826,44.72124221
admonitions,408.9412347,435.1890268,-2031.691268,44.72306766
ado,408.957902,435.2068728,-2031.808711,44.72489311
adobe,408.9745692,435.2247188,-2031.926153,44.72671856
adolescence,408.9912365,435.2425648,-2032.043596,44.72854402
adolescent,409.0079038,435.2604107,-2032.161038,44.73036947
adolescents,409.024571,435.2782567,-2032.27848,44.73219492
adolescent's,409.0412383,435.2961027,-2032.395923,44.73402037
Adolf,409.0579056,435.3139486,-2032.513365,44.73584583
Adonis,409.0745728,435.3317946,-2032.630808,44.73767128
adopt,409.0912401,435.3496406,-2032.74825,44.73949673
adopted,409.1079074,435.3674865,-2032.865692,44.74132218
adopting,409.1245746,435.3853325,-2032.983135,44.74314764
adoption,409.1412419,435.4031785,-2033.100577,44.74497309
adopts,409.1579092,435.4210245,-2033.21802,44.74679854
adorable,409.1745765,435.4388704,-2033.335462,44.74862399
adoration,409.1912437,435.4567164,-2033.452904,44.75044945
adore,409.207911,435.4745624,-2033.570347,44.7522749
adored,409.2245783,435.4924083,-2033.687789,44.75410035
adores,409.2412455,435.5102543,-2033.805232,44.7559258
adorn,409.2579128,435.5281003,-2033.922674,44.75775126
adorned,409.2745801,435.5459462,-2034.040116,44.75957671
adornment,409.2912473,435.5637922,-2034.157559,44.76140216
adorns,409.3079146,435.5816382,-2034.275001,44.76322761
adrenal,409.3245819,435.5994842,-2034.392444,44.76505307
adrenalin,409.3412491,435.6173301,-2034.509886,44.76687852
Adrian,409.3579164,435.6351761,-2034.627328,44.76870397
Adriatic,409.3745837,435.6530221,-2034.744771,44.77052942
adrift,409.3912509,435.670868,-2034.862213,44.77235487
adroit,409.4079182,435.688714,-2034.979656,44.77418033
adroitness,409.4245855,435.70656,-2035.097098,44.77600578
ads,409.4412528,435.724406,-2035.21454,44.77783123
adsorbed,409.45792,435.7422519,-2035.331983,44.77965668
adsorbs,409.4745873,435.7600979,-2035.449425,44.78148214
adulation,409.4912546,435.7779439,-2035.566868,44.78330759
adult,409.5079218,435.7957898,-2035.68431,44.78513304
adulterant,409.5245891,435.8136358,-2035.801752,44.78695849
adulterate,409.5412564,435.8314818,-2035.919195,44.78878395
adulterated,409.5579236,435.8493277,-2036.036637,44.7906094
adulterer,409.5745909,435.8671737,-2036.15408,44.79243485
adulterers,409.5912582,435.8850197,-2036.271522,44.7942603
adulteress,409.6079254,435.9028657,-2036.388964,44.79608576
adulterous,409.6245927,435.9207116,-2036.506407,44.79791121
adultery,409.64126,435.9385576,-2036.623849,44.79973666
adulthood,409.6579272,435.9564036,-2036.741292,44.80156211
adults,409.6745945,435.9742495,-2036.858734,44.80338757
advance,409.6912618,435.9920955,-2036.976176,44.80521302
advanced,409.7079291,436.0099415,-2037.093619,44.80703847
advancement,409.7245963,436.0277875,-2037.211061,44.80886392
advancements,409.7412636,436.0456334,-2037.328504,44.81068938
advances,409.7579309,436.0634794,-2037.445946,44.81251483
advancing,409.7745981,436.0813254,-2037.563389,44.81434028
advantage,409.7912654,436.0991713,-2037.680831,44.81616573
advantageous,409.8079327,436.1170173,-2037.798273,44.81799119
advantageously,409.8245999,436.1348633,-2037.915716,44.81981664
advantages,409.8412672,436.1527092,-2038.033158,44.82164209
advent,409.8579345,436.1705552,-2038.150601,44.82346754
adventitious,409.8746017,436.1884012,-2038.268043,44.825293
adventure,409.891269,436.2062472,-2038.385485,44.82711845
adventurers,409.9079363,436.2240931,-2038.502928,44.8289439
adventures,409.9246035,436.2419391,-2038.62037,44.83076935
adventuring,409.9412708,436.2597851,-2038.737813,44.83259481
adventurous,409.9579381,436.277631,-2038.855255,44.83442026
adverb,409.9746054,436.295477,-2038.972697,44.83624571
adverbial,409.9912726,436.313323,-2039.09014,44.83807116
adverbs,410.0079399,436.3311689,-2039.207582,44.83989662
adversaries,410.0246072,436.3490149,-2039.325025,44.84172207
adversary,410.0412744,436.3668609,-2039.442467,44.84354752
adverse,410.0579417,436.3847069,-2039.559909,44.84537297
adversely,410.074609,436.4025528,-2039.677352,44.84719843
adversity,410.0912762,436.4203988,-2039.794794,44.84902388
advert,410.1079435,436.4382448,-2039.912237,44.85084933
advertise,410.1246108,436.4560907,-2040.029679,44.85267478
advertised,410.141278,436.4739367,-2040.147121,44.85450023
advertisement,410.1579453,436.4917827,-2040.264564,44.85632569
advertisements,410.1746126,436.5096287,-2040.382006,44.85815114
advertiser,410.1912798,436.5274746,-2040.499449,44.85997659
advertisers,410.2079471,436.5453206,-2040.616891,44.86180204
advertises,410.2246144,436.5631666,-2040.734333,44.8636275
advertising,410.2412817,436.5810125,-2040.851776,44.86545295
advice,410.2579489,436.5988585,-2040.969218,44.8672784
advisability,410.2746162,436.6167045,-2041.086661,44.86910385
advisable,410.2912835,436.6345504,-2041.204103,44.87092931
advise,410.3079507,436.6523964,-2041.321545,44.87275476
advised,410.324618,436.6702424,-2041.438988,44.87458021
advisedly,410.3412853,436.6880884,-2041.55643,44.87640566
advisement,410.3579525,436.7059343,-2041.673873,44.87823112
adviser,410.3746198,436.7237803,-2041.791315,44.88005657
advisers,410.3912871,436.7416263,-2041.908757,44.88188202
advises,410.4079543,436.7594722,-2042.0262,44.88370747
advising,410.4246216,436.7773182,-2042.143642,44.88553293
advisor,410.4412889,436.7951642,-2042.261085,44.88735838
admonishing,410.4579561,436.8130102,-2042.378527,44.88918383
admonishments,410.4746234,436.8308561,-2042.495969,44.89100928
admonition,410.4912907,436.8487021,-2042.613412,44.89283474
admonitions,410.507958,436.8665481,-2042.730854,44.89466019
ado,410.5246252,436.884394,-2042.848297,44.89648564
adobe,410.5412925,436.90224,-2042.965739,44.89831109
adolescence,410.5579598,436.920086,-2043.083181,44.90013655
adolescent,410.574627,436.9379319,-2043.200624,44.901962
adolescents,410.5912943,436.9557779,-2043.318066,44.90378745
adolescent's,410.6079616,436.9736239,-2043.435509,44.9056129
Adolf,410.6246288,436.9914699,-2043.552951,44.90743836
Adonis,410.6412961,437.0093158,-2043.670393,44.90926381
adopt,410.6579634,437.0271618,-2043.787836,44.91108926
adopted,410.6746306,437.0450078,-2043.905278,44.91291471
adopting,410.6912979,437.0628537,-2044.022721,44.91474017
adoption,410.7079652,437.0806997,-2044.140163,44.91656562
adopts,410.7246324,437.0985457,-2044.257605,44.91839107
adorable,410.7412997,437.1163916,-2044.375048,44.92021652
adoration,410.757967,437.1342376,-2044.49249,44.92204198
adore,410.7746343,437.1520836,-2044.609933,44.92386743
adored,410.7913015,437.1699296,-2044.727375,44.92569288
adores,410.8079688,437.1877755,-2044.844817,44.92751833
adorn,410.8246361,437.2056215,-2044.96226,44.92934378
adorned,410.8413033,437.2234675,-2045.079702,44.93116924
adornment,410.8579706,437.2413134,-2045.197145,44.93299469
adorns,410.8746379,437.2591594,-2045.314587,44.93482014
adrenal,410.8913051,437.2770054,-2045.432029,44.93664559
adrenalin,410.9079724,437.2948514,-2045.549472,44.93847105
Adrian,410.9246397,437.3126973,-2045.666914,44.9402965
Adriatic,410.9413069,437.3305433,-2045.784357,44.94212195
adrift,410.9579742,437.3483893,-2045.901799,44.9439474
adroit,410.9746415,437.3662352,-2046.019241,44.94577286
adroitness,410.9913087,437.3840812,-2046.136684,44.94759831
ads,411.007976,437.4019272,-2046.254126,44.94942376
adsorbed,411.0246433,437.4197731,-2046.371569,44.95124921
adsorbs,411.0413106,437.4376191,-2046.489011,44.95307467
adulation,411.0579778,437.4554651,-2046.606453,44.95490012
adult,411.0746451,437.4733111,-2046.723896,44.95672557
adulterant,411.0913124,437.491157,-2046.841338,44.95855102
adulterate,411.1079796,437.509003,-2046.958781,44.96037648
adulterated,411.1246469,437.526849,-2047.076223,44.96220193
adulterer,411.1413142,437.5446949,-2047.193665,44.96402738
adulterers,411.1579814,437.5625409,-2047.311108,44.96585283
adulteress,411.1746487,437.5803869,-2047.42855,44.96767829
adulterous,411.191316,437.5982329,-2047.545993,44.96950374
adultery,411.2079832,437.6160788,-2047.663435,44.97132919
adulthood,411.2246505,437.6339248,-2047.780877,44.97315464
adults,411.2413178,437.6517708,-2047.89832,44.9749801
advance,411.257985,437.6696167,-2048.015762,44.97680555
advanced,411.2746523,437.6874627,-2048.133205,44.978631
advancement,411.2913196,437.7053087,-2048.250647,44.98045645
advancements,411.3079869,437.7231546,-2048.368089,44.98228191
advances,411.3246541,437.7410006,-2048.485532,44.98410736
advancing,411.3413214,437.7588466,-2048.602974,44.98593281
advantage,411.3579887,437.7766926,-2048.720417,44.98775826
advantageous,411.3746559,437.7945385,-2048.837859,44.98958372
advantageously,411.3913232,437.8123845,-2048.955301,44.99140917
advantages,411.4079905,437.8302305,-2049.072744,44.99323462
advent,411.4246577,437.8480764,-2049.190186,44.99506007
adventitious,411.441325,437.8659224,-2049.307629,44.99688553
adventure,411.4579923,437.8837684,-2049.425071,44.99871098
adventurers,411.4746595,437.9016143,-2049.542513,45.00053643
adventures,411.4913268,437.9194603,-2049.659956,45.00236188
adventuring,411.5079941,437.9373063,-2049.777398,45.00418734
adventurous,411.5246613,437.9551523,-2049.894841,45.00601279
adverb,411.5413286,437.9729982,-2050.012283,45.00783824
adverbial,411.5579959,437.9908442,-2050.129725,45.00966369
adverbs,411.5746632,438.0086902,-2050.247168,45.01148914
adversaries,411.5913304,438.0265361,-2050.36461,45.0133146
adversary,411.6079977,438.0443821,-2050.482053,45.01514005
adverse,411.624665,438.0622281,-2050.599495,45.0169655
adversely,411.6413322,438.0800741,-2050.716937,45.01879095
adversity,411.6579995,438.09792,-2050.83438,45.02061641
advert,411.6746668,438.115766,-2050.951822,45.02244186
advertise,411.691334,438.133612,-2051.069265,45.02426731
advertised,411.7080013,438.1514579,-2051.186707,45.02609276
advertisement,411.7246686,438.1693039,-2051.304149,45.02791822
advertisements,411.7413358,438.1871499,-2051.421592,45.02974367
advertiser,411.7580031,438.2049958,-2051.539034,45.03156912
advertisers,411.7746704,438.2228418,-2051.656477,45.03339457
advertises,411.7913376,438.2406878,-2051.773919,45.03522003
advertising,411.8080049,438.2585338,-2051.891361,45.03704548
advice,411.8246722,438.2763797,-2052.008804,45.03887093
advisability,411.8413395,438.2942257,-2052.126246,45.04069638
advisable,411.8580067,438.3120717,-2052.243689,45.04252184
advise,411.874674,438.3299176,-2052.361131,45.04434729
advised,411.8913413,438.3477636,-2052.478573,45.04617274
advisedly,411.9080085,438.3656096,-2052.596016,45.04799819
advisement,411.9246758,438.3834556,-2052.713458,45.04982365
adviser,411.9413431,438.4013015,-2052.830901,45.0516491
advisers,411.9580103,438.4191475,-2052.948343,45.05347455
advises,411.9746776,438.4369935,-2053.065786,45.0553
advising,411.9913449,438.4548394,-2053.183228,45.05712546
advisor,412.0080121,438.4726854,-2053.30067,45.05895091
admonishing,412.0246794,438.4905314,-2053.418113,45.06077636
admonishments,412.0413467,438.5083773,-2053.535555,45.06260181
admonition,412.0580139,438.5262233,-2053.652998,45.06442727
admonitions,412.0746812,438.5440693,-2053.77044,45.06625272
ado,412.0913485,438.5619153,-2053.887882,45.06807817
adobe,412.1080157,438.5797612,-2054.005325,45.06990362
adolescence,412.124683,438.5976072,-2054.122767,45.07172908
adolescent,412.1413503,438.6154532,-2054.24021,45.07355453
adolescents,412.1580176,438.6332991,-2054.357652,45.07537998
adolescent's,412.1746848,438.6511451,-2054.475094,45.07720543
Adolf,412.1913521,438.6689911,-2054.592537,45.07903089
Adonis,412.2080194,438.686837,-2054.709979,45.08085634
adopt,412.2246866,438.704683,-2054.827422,45.08268179
adopted,412.2413539,438.722529,-2054.944864,45.08450724
adopting,412.2580212,438.740375,-2055.062306,45.0863327
adoption,412.2746884,438.7582209,-2055.179749,45.08815815
adopts,412.2913557,438.7760669,-2055.297191,45.0899836
adorable,412.308023,438.7939129,-2055.414634,45.09180905
adoration,412.3246902,438.8117588,-2055.532076,45.0936345
adore,412.3413575,438.8296048,-2055.649518,45.09545996
adored,412.3580248,438.8474508,-2055.766961,45.09728541
adores,412.374692,438.8652968,-2055.884403,45.09911086
adorn,412.3913593,438.8831427,-2056.001846,45.10093631
adorned,412.4080266,438.9009887,-2056.119288,45.10276177
adornment,412.4246939,438.9188347,-2056.23673,45.10458722
adorns,412.4413611,438.9366806,-2056.354173,45.10641267
adrenal,412.4580284,438.9545266,-2056.471615,45.10823812
adrenalin,412.4746957,438.9723726,-2056.589058,45.11006358
Adrian,412.4913629,438.9902185,-2056.7065,45.11188903
Adriatic,412.5080302,439.0080645,-2056.823942,45.11371448
adrift,412.5246975,439.0259105,-2056.941385,45.11553993
adroit,412.5413647,439.0437565,-2057.058827,45.11736539
adroitness,412.558032,439.0616024,-2057.17627,45.11919084
ads,412.5746993,439.0794484,-2057.293712,45.12101629
adsorbed,412.5913665,439.0972944,-2057.411154,45.12284174
adsorbs,412.6080338,439.1151403,-2057.528597,45.1246672
adulation,412.6247011,439.1329863,-2057.646039,45.12649265
adult,412.6413683,439.1508323,-2057.763482,45.1283181
adulterant,412.6580356,439.1686783,-2057.880924,45.13014355
adulterate,412.6747029,439.1865242,-2057.998366,45.13196901
adulterated,412.6913702,439.2043702,-2058.115809,45.13379446
adulterer,412.7080374,439.2222162,-2058.233251,45.13561991
adulterers,412.7247047,439.2400621,-2058.350694,45.13744536
adulteress,412.741372,439.2579081,-2058.468136,45.13927082
adulterous,412.7580392,439.2757541,-2058.585578,45.14109627
adultery,412.7747065,439.2936,-2058.703021,45.14292172
adulthood,412.7913738,439.311446,-2058.820463,45.14474717
adults,412.808041,439.329292,-2058.937906,45.14657263
advance,412.8247083,439.347138,-2059.055348,45.14839808
advanced,412.8413756,439.3649839,-2059.17279,45.15022353
advancement,412.8580428,439.3828299,-2059.290233,45.15204898
advancements,412.8747101,439.4006759,-2059.407675,45.15387444
advances,412.8913774,439.4185218,-2059.525118,45.15569989
advancing,412.9080446,439.4363678,-2059.64256,45.15752534
advantage,412.9247119,439.4542138,-2059.760002,45.15935079
advantageous,412.9413792,439.4720597,-2059.877445,45.16117625
advantageously,412.9580465,439.4899057,-2059.994887,45.1630017
advantages,412.9747137,439.5077517,-2060.11233,45.16482715
advent,412.991381,439.5255977,-2060.229772,45.1666526
adventitious,413.0080483,439.5434436,-2060.347214,45.16847806
adventure,413.0247155,439.5612896,-2060.464657,45.17030351
adventurers,413.0413828,439.5791356,-2060.582099,45.17212896
adventures,413.0580501,439.5969815,-2060.699542,45.17395441
adventuring,413.0747173,439.6148275,-2060.816984,45.17577986
adventurous,413.0913846,439.6326735,-2060.934426,45.17760532
adverb,413.1080519,439.6505195,-2061.051869,45.17943077
adverbial,413.1247191,439.6683654,-2061.169311,45.18125622
adverbs,413.1413864,439.6862114,-2061.286754,45.18308167
adversaries,413.1580537,439.7040574,-2061.404196,45.18490713
adversary,413.1747209,439.7219033,-2061.521638,45.18673258
adverse,413.1913882,439.7397493,-2061.639081,45.18855803
adversely,413.2080555,439.7575953,-2061.756523,45.19038348
adversity,413.2247228,439.7754412,-2061.873966,45.19220894
advert,413.24139,439.7932872,-2061.991408,45.19403439
advertise,413.2580573,439.8111332,-2062.10885,45.19585984
advertised,413.2747246,439.8289792,-2062.226293,45.19768529
advertisement,413.2913918,439.8468251,-2062.343735,45.19951075
advertisements,413.3080591,439.8646711,-2062.461178,45.2013362
advertiser,413.3247264,439.8825171,-2062.57862,45.20316165
advertisers,413.3413936,439.900363,-2062.696062,45.2049871
advertises,413.3580609,439.918209,-2062.813505,45.20681256
advertising,413.3747282,439.936055,-2062.930947,45.20863801
advice,413.3913954,439.953901,-2063.04839,45.21046346
advisability,413.4080627,439.9717469,-2063.165832,45.21228891
advisable,413.42473,439.9895929,-2063.283274,45.21411437
advise,413.4413972,440.0074389,-2063.400717,45.21593982
advised,413.4580645,440.0252848,-2063.518159,45.21776527
advisedly,413.4747318,440.0431308,-2063.635602,45.21959072
advisement,413.4913991,440.0609768,-2063.753044,45.22141618
adviser,413.5080663,440.0788227,-2063.870486,45.22324163
advisers,413.5247336,440.0966687,-2063.987929,45.22506708
advises,413.5414009,440.1145147,-2064.105371,45.22689253
advising,413.5580681,440.1323607,-2064.222814,45.22871799
advisor,413.5747354,440.1502066,-2064.340256,45.23054344
admonishing,413.5914027,440.1680526,-2064.457698,45.23236889
admonishments,413.6080699,440.1858986,-2064.575141,45.23419434
admonition,413.6247372,440.2037445,-2064.692583,45.2360198
admonitions,413.6414045,440.2215905,-2064.810026,45.23784525
ado,413.6580717,440.2394365,-2064.927468,45.2396707
adobe,413.674739,440.2572824,-2065.04491,45.24149615
adolescence,413.6914063,440.2751284,-2065.162353,45.24332161
adolescent,413.7080735,440.2929744,-2065.279795,45.24514706
adolescents,413.7247408,440.3108204,-2065.397238,45.24697251
adolescent's,413.7414081,440.3286663,-2065.51468,45.24879796
Adolf,413.7580754,440.3465123,-2065.632122,45.25062342
Adonis,413.7747426,440.3643583,-2065.749565,45.25244887
adopt,413.7914099,440.3822042,-2065.867007,45.25427432
adopted,413.8080772,440.4000502,-2065.98445,45.25609977
adopting,413.8247444,440.4178962,-2066.101892,45.25792522
adoption,413.8414117,440.4357422,-2066.219334,45.25975068
adopts,413.858079,440.4535881,-2066.336777,45.26157613
adorable,413.8747462,440.4714341,-2066.454219,45.26340158
adoration,413.8914135,440.4892801,-2066.571662,45.26522703
adore,413.9080808,440.507126,-2066.689104,45.26705249
adored,413.924748,440.524972,-2066.806546,45.26887794
adores,413.9414153,440.542818,-2066.923989,45.27070339
adorn,413.9580826,440.5606639,-2067.041431,45.27252884
adorned,413.9747498,440.5785099,-2067.158874,45.2743543
adornment,413.9914171,440.5963559,-2067.276316,45.27617975
adorns,414.0080844,440.6142019,-2067.393758,45.2780052
adrenal,414.0247517,440.6320478,-2067.511201,45.27983065
adrenalin,414.0414189,440.6498938,-2067.628643,45.28165611
Adrian,414.0580862,440.6677398,-2067.746086,45.28348156
Adriatic,414.0747535,440.6855857,-2067.863528,45.28530701
adrift,414.0914207,440.7034317,-2067.98097,45.28713246
adroit,414.108088,440.7212777,-2068.098413,45.28895792
adroitness,414.1247553,440.7391236,-2068.215855,45.29078337
ads,414.1414225,440.7569696,-2068.333298,45.29260882
adsorbed,414.1580898,440.7748156,-2068.45074,45.29443427
adsorbs,414.1747571,440.7926616,-2068.568182,45.29625973
adulation,414.1914243,440.8105075,-2068.685625,45.29808518
adult,414.2080916,440.8283535,-2068.803067,45.29991063
adulterant,414.2247589,440.8461995,-2068.92051,45.30173608
adulterate,414.2414261,440.8640454,-2069.037952,45.30356154
adulterated,414.2580934,440.8818914,-2069.155395,45.30538699
adulterer,414.2747607,440.8997374,-2069.272837,45.30721244
adulterers,414.291428,440.9175834,-2069.390279,45.30903789
adulteress,414.3080952,440.9354293,-2069.507722,45.31086335
adulterous,414.3247625,440.9532753,-2069.625164,45.3126888
adultery,414.3414298,440.9711213,-2069.742607,45.31451425
adulthood,414.358097,440.9889672,-2069.860049,45.3163397
adults,414.3747643,441.0068132,-2069.977491,45.31816516
advance,414.3914316,441.0246592,-2070.094934,45.31999061
advanced,414.4080988,441.0425051,-2070.212376,45.32181606
advancement,414.4247661,441.0603511,-2070.329819,45.32364151
advancements,414.4414334,441.0781971,-2070.447261,45.32546697
advances,414.4581006,441.0960431,-2070.564703,45.32729242
advancing,414.4747679,441.113889,-2070.682146,45.32911787
advantage,414.4914352,441.131735,-2070.799588,45.33094332
advantageous,414.5081024,441.149581,-2070.917031,45.33276878
advantageously,414.5247697,441.1674269,-2071.034473,45.33459423
advantages,414.541437,441.1852729,-2071.151915,45.33641968
advent,414.5581043,441.2031189,-2071.269358,45.33824513
adventitious,414.5747715,441.2209649,-2071.3868,45.34007058
adventure,414.5914388,441.2388108,-2071.504243,45.34189604
adventurers,414.6081061,441.2566568,-2071.621685,45.34372149
adventures,414.6247733,441.2745028,-2071.739127,45.34554694
adventuring,414.6414406,441.2923487,-2071.85657,45.34737239
adventurous,414.6581079,441.3101947,-2071.974012,45.34919785
adverb,414.6747751,441.3280407,-2072.091455,45.3510233
adverbial,414.6914424,441.3458866,-2072.208897,45.35284875
adverbs,414.7081097,441.3637326,-2072.326339,45.3546742
adversaries,414.7247769,441.3815786,-2072.443782,45.35649966
adversary,414.7414442,441.3994246,-2072.561224,45.35832511
adverse,414.7581115,441.4172705,-2072.678667,45.36015056
adversely,414.7747787,441.4351165,-2072.796109,45.36197601
adversity,414.791446,441.4529625,-2072.913551,45.36380147
advert,414.8081133,441.4708084,-2073.030994,45.36562692
advertise,414.8247806,441.4886544,-2073.148436,45.36745237
advertised,414.8414478,441.5065004,-2073.265879,45.36927782
advertisement,414.8581151,441.5243463,-2073.383321,45.37110328
advertisements,414.8747824,441.5421923,-2073.500763,45.37292873
advertiser,414.8914496,441.5600383,-2073.618206,45.37475418
advertisers,414.9081169,441.5778843,-2073.735648,45.37657963
advertises,414.9247842,441.5957302,-2073.853091,45.37840509
advertising,414.9414514,441.6135762,-2073.970533,45.38023054
advice,414.9581187,441.6314222,-2074.087975,45.38205599
advisability,414.974786,441.6492681,-2074.205418,45.38388144
advisable,414.9914532,441.6671141,-2074.32286,45.3857069
advise,415.0081205,441.6849601,-2074.440303,45.38753235
advised,415.0247878,441.7028061,-2074.557745,45.3893578
advisedly,415.041455,441.720652,-2074.675187,45.39118325
advisement,415.0581223,441.738498,-2074.79263,45.39300871
adviser,415.0747896,441.756344,-2074.910072,45.39483416
advisers,415.0914569,441.7741899,-2075.027515,45.39665961
advises,415.1081241,441.7920359,-2075.144957,45.39848506
advising,415.1247914,441.8098819,-2075.262399,45.40031052
advisor,415.1414587,441.8277278,-2075.379842,45.40213597
admonishing,415.1581259,441.8455738,-2075.497284,45.40396142
admonishments,415.1747932,441.8634198,-2075.614727,45.40578687
admonition,415.1914605,441.8812658,-2075.732169,45.40761233
admonitions,415.2081277,441.8991117,-2075.849611,45.40943778
ado,415.224795,441.9169577,-2075.967054,45.41126323
adobe,415.2414623,441.9348037,-2076.084496,45.41308868
adolescence,415.2581295,441.9526496,-2076.201939,45.41491414
adolescent,415.2747968,441.9704956,-2076.319381,45.41673959
adolescents,415.2914641,441.9883416,-2076.436823,45.41856504
adolescent's,415.3081313,442.0061876,-2076.554266,45.42039049
Adolf,415.3247986,442.0240335,-2076.671708,45.42221594
Adonis,415.3414659,442.0418795,-2076.789151,45.4240414
adopt,415.3581332,442.0597255,-2076.906593,45.42586685
adopted,415.3748004,442.0775714,-2077.024035,45.4276923
adopting,415.3914677,442.0954174,-2077.141478,45.42951775
adoption,415.408135,442.1132634,-2077.25892,45.43134321
adopts,415.4248022,442.1311093,-2077.376363,45.43316866
adorable,415.4414695,442.1489553,-2077.493805,45.43499411
adoration,415.4581368,442.1668013,-2077.611247,45.43681956
adore,415.474804,442.1846473,-2077.72869,45.43864502
adored,415.4914713,442.2024932,-2077.846132,45.44047047
adores,415.5081386,442.2203392,-2077.963575,45.44229592
adorn,415.5248058,442.2381852,-2078.081017,45.44412137
adorned,415.5414731,442.2560311,-2078.198459,45.44594683
adornment,415.5581404,442.2738771,-2078.315902,45.44777228
